month,"Cars total, SA","Cars total, SA (indexed: 100 = 2023 average)","All vehicles total, SA","All vehicles total, SA (indexed: 100 = 2023 average)","Cars domestic, SA","Cars exported, SA"
2023-03-01,67071.0043225333,88.43077652699982,76822.55435917171,89.41273817360596,13199.3331376903,56671.2028208515
2023-04-01,87442.2203536175,115.289513333224,99045.41758223159,115.2776299024252,15242.4224154036,63278.8280050733
2023-05-01,77898.8673442284,102.7069357228864,90626.3274940994,105.4787641397654,15590.4184604371,62348.1534580303
2023-06-01,76265.655066936,100.5536023805098,87830.8290066578,102.2251210344644,17565.2119192154,64407.9812160625
2023-07-01,81603.6327749269,107.5915395423194,91132.80594137864,106.0682475951765,17068.8028840642,61945.9905571775
2023-08-01,59768.7095428256,78.80295591627336,68949.28267163999,80.24914310911963,11392.1253475462,54905.1694801946
2023-09-01,86159.367372769,113.5981164857744,95470.78856277815,111.1171672459787,18481.9332664427,63085.1615094434
2023-10-01,83023.5142141324,109.4636036259496,94417.21881815791,109.8909315849913,18374.205952604,66147.4998130542
2023-11-01,80768.7612791631,106.4907906357484,91448.83701910099,106.4360719176404,18879.4730090632,60163.7281536516
2023-12-01,80434.3544112867,106.0498868606973,90757.39929404309,105.6313168455178,19228.3013365178,58002.9970848041
2024-01-01,75129.2718202575,99.0553207616331,86893.88978030121,101.1346300656386,18096.38250556,57303.0812425891
2024-02-01,70072.4179106089,92.38803550877779,82238.3595206643,95.71612098797844,15821.3096805177,54144.7564466328
2024-03-01,54345.7523055079,71.65297621323192,63701.01605175508,74.14075615084322,17710.1958920123,48451.1176477741
2024-04-01,70785.9560373133,93.32881060620527,78967.36904084861,91.9090591455314,17066.8937294041,43537.2880034395
2024-05-01,70223.7632561514,92.58757906064874,76566.61850758089,89.11485787688295,16284.9229152366,51003.6621522866
2024-06-01,62547.9556660358,82.46729485554525,73913.1175642984,86.02648380413504,13073.516011669,45955.9571382241
2024-07-01,59792.6376011802,78.83450422544888,75626.24391149639,88.0203685274179,12063.1039085167,50143.0688109726
2024-08-01,59242.6946949264,78.1094237120921,67729.4795689033,78.82943067755393,13047.7082222301,51996.1805090801
2024-09-01,69899.6969396051,92.16030894134913,82304.7813131496,95.79342841924067,15732.2210481967,51060.229947725
2024-10-01,66473.072207285,87.64242391776247,77193.44183509541,89.84440912041659,13701.6111398548,53139.7218415199
2024-11-01,58709.6391904782,77.40660864816871,68749.4180392747,80.01652335060065,8921.64127377119,46193.1940156743
2024-12-01,58642.0199062947,77.31745498379549,67585.55735257929,78.66192154494452,11253.9180107829,50890.0597377344
2025-01-01,63063.6007206968,83.1471548495406,69801.82271471534,81.24140300323378,11675.8740220711,51190.90042124
2025-02-01,68046.8943838107,89.71745348666997,75463.48105767145,87.83093103012514,14873.7604910207,54268.6484178422
2025-03-01,65494.9325047217,86.35278088463285,72667.51955525427,84.57674902791913,14703.389999094,48529.7576050417
2025-04-01,63238.5274898017,83.37778968472091,68726.64215229404,79.99001480195551,13322.3621355734,51455.2581048959
2025-05-01,53987.7692958551,71.18098811872184,58082.8966713577,67.601902537112,13452.7203297028,36650.3174435339
2025-06-01,62317.4228124729,82.16334534022984,64843.66141330855,75.47066572479723,18469.0313452282,45888.3873840239
2025-07-01,62501.4594695166,82.40599124446508,65826.48843821166,76.61456488541026,14870.2207761385,50947.7394945663
2025-08-01,58589.4425916375,77.24813363085313,62514.02452061337,72.75923266631995,12689.0442267654,46783.1309710139
2025-09-01,47394.2715159312,62.4876915951773,48390.83153381073,56.32143822902095,10241.645224919,38756.0656815971
2025-10-01,49086.5779171758,64.71893847593103,50450.57775503099,58.71874916352847,10599.1835552703,36042.3427972493
